start_concept,end_concept,result
2,40,1
3,68,1
4,64,1
4,76,1
4,83,1
4,109,1
5,7,1
5,46,1
5,69,1
5,73,1
5,75,1
5,85,1
5,87,1
5,92,1
5,108,1
5,153,1
5,160,1
5,172,1
5,196,1
5,200,1
7,145,1
9,1,1
9,31,1
9,65,1
9,78,1
9,134,1
9,169,1
13,64,1
13,77,1
15,1,1
15,2,1
15,3,1
15,7,1
15,11,1
15,17,1
15,24,1
15,25,1
15,28,1
15,31,1
15,33,1
15,34,1
15,40,1
15,63,1
15,75,1
15,78,1
15,92,1
15,93,1
15,97,1
15,98,1
15,100,1
15,103,1
15,111,1
15,121,1
15,134,1
15,138,1
15,140,1
15,145,1
15,150,1
15,156,1
15,157,1
15,158,1
15,161,1
15,165,1
15,171,1
15,172,1
15,173,1
15,175,1
15,178,1
15,179,1
15,184,1
15,185,1
15,202,1
15,215,1
16,146,1
17,66,1
17,74,1
17,81,1
17,84,1
17,92,1
22,49,1
22,99,1
22,102,1
22,130,1
25,28,1
25,32,1
25,45,1
25,120,1
25,135,1
25,137,1
25,157,1
25,163,1
25,164,1
25,167,1
25,172,1
25,183,1
25,185,1
25,195,1
25,202,1
25,208,1
27,11,1
27,19,1
27,95,1
29,90,1
29,161,1
32,135,1
33,63,1
33,98,1
33,171,1
33,178,1
34,1,1
34,23,1
34,48,1
34,119,1
36,143,1
36,48,1
36,114,1
39,113,1
40,134,1
41,12,1
43,24,1
46,73,1
46,81,1
46,153,1
37,166,1
49,102,1
51,163,1
56,13,1
56,64,1
56,74,1
56,76,1
56,77,1
56,83,1
56,170,1
56,203,1
60,143,1
60,31,1
60,42,1
60,82,1
60,94,1
60,117,1
60,182,1
60,187,1
63,48,1
63,178,1
64,100,1
65,40,1
65,64,1
65,134,1
65,179,1
66,158,1
67,61,1
70,39,1
70,113,1
72,12,1
72,16,1
72,19,1
72,23,1
72,25,1
72,29,1
72,38,1
72,56,1
72,66,1
72,69,1
72,73,1
72,74,1
72,75,1
72,81,1
72,83,1
72,84,1
72,85,1
72,87,1
72,92,1
72,107,1
72,115,1
72,118,1
72,120,1
72,128,1
72,129,1
72,153,1
72,160,1
72,172,1
72,185,1
72,192,1
72,196,1
72,200,1
72,221,1
73,92,1
73,153,1
75,129,1
76,204,1
76,210,1
78,0,1
78,59,1
80,0,1
80,2,1
80,3,1
80,8,1
80,143,1
80,11,1
80,17,1
80,18,1
80,40,1
80,41,1
80,49,1
80,52,1
80,57,1
80,74,1
80,84,1
80,89,1
80,92,1
80,103,1
80,117,1
80,118,1
80,138,1
80,154,1
80,155,1
80,158,1
80,161,1
80,168,1
80,174,1
80,175,1
80,176,1
80,182,1
80,184,1
80,186,1
80,189,1
80,191,1
80,217,1
81,69,1
81,73,1
81,106,1
82,94,1
84,74,1
84,89,1
84,92,1
84,176,1
85,16,1
85,23,1
85,69,1
85,73,1
85,106,1
85,108,1
85,115,1
85,129,1
85,196,1
86,104,1
86,125,1
86,126,1
87,9,1
87,31,1
89,200,1
90,161,1
91,47,1
92,154,1
93,129,1
93,196,1
95,27,1
96,129,1
97,129,1
98,90,1
98,193,1
99,22,1
99,102,1
101,3,1
101,26,1
101,82,1
101,94,1
101,155,1
101,195,1
101,196,1
103,47,1
103,91,1
103,132,1
103,181,1
104,8,1
105,12,1
105,22,1
105,49,1
105,99,1
105,102,1
105,107,1
105,133,1
105,168,1
105,211,1
107,168,1
108,1,1
108,7,1
108,145,1
108,158,1
108,184,1
108,187,1
113,39,1
113,70,1
115,23,1
115,63,1
115,90,1
115,98,1
115,171,1
115,193,1
116,59,1
117,42,1
118,0,1
118,2,1
118,7,1
118,8,1
118,143,1
118,11,1
118,16,1
118,17,1
118,46,1
118,49,1
118,52,1
118,65,1
118,73,1
118,74,1
118,81,1
118,84,1
118,89,1
118,103,1
118,106,1
118,116,1
118,135,1
118,138,1
118,153,1
118,154,1
118,158,1
118,161,1
118,174,1
118,175,1
