C1(head)_id,C2(tail)_id,Num
49,177,44
198,103,1273
18,103,49
65,175,129
90,175,236
116,175,238
85,175,237
206,175,590
39,175,305
239,80,230
157,80,292
138,80,746
236,80,219
238,80,4910
156,80,336
206,80,787
153,51,1067
144,147,333
47,147,213
168,147,20
199,147,337
17,116,737
171,116,35
26,116,535
64,116,22680
170,116,401
202,116,159
99,116,696
156,116,269
90,116,144
145,116,752
238,116,550
133,116,36
172,116,1904
76,116,2584
147,100,36
2,100,148
131,100,208
39,65,120
95,30,3421
181,30,258
19,196,414
176,196,49
7,196,232
20,97,61
14,97,201
89,188,261
232,188,3183
206,40,516
2,40,77
122,137,536
95,137,14878
148,216,3441
208,216,210
193,216,573
142,216,380
92,207,320
231,86,431
151,86,4929
21,86,337
154,86,2387
208,86,759
191,86,1736
31,86,433
24,86,1385
109,86,58
6,86,384
132,86,366
34,86,2201
75,237,1181
145,237,507
210,237,965
107,129,491
116,129,605
238,129,206
145,129,1192
122,129,1003
64,129,221
97,21,882
14,21,706
147,21,507
191,21,1150
132,21,1422
181,21,619
147,121,38
170,122,972
129,122,633
41,122,130
64,122,864
116,122,376
145,122,4104
238,122,785
239,122,248
32,122,1605
34,122,2183
70,122,1230
69,67,375
18,67,798
222,185,763
82,185,1572
238,185,353
26,185,53
235,185,200
74,185,469
88,185,495
139,185,1124
226,185,350
93,185,122
177,49,119
24,49,474
154,49,1649
85,49,144
67,18,1584
88,235,2483
233,235,3088
161,235,1393
85,235,1620
90,235,127
82,235,70
157,235,1735
139,235,151
228,235,751
74,177,424
49,177,580
222,177,188
82,177,688
232,177,7934
137,177,79
154,177,9959
108,177,266
85,177,1059
93,177,4201
144,7,258
27,7,223
38,7,228
97,130,243
20,130,413
116,130,680
90,130,177
144,130,44
187,130,51
156,130,887
206,130,1011
85,130,218
45,178,208
2,178,174
213,219,456
124,219,551
63,219,2666
176,202,347
125,202,33
206,202,521
185,202,118
117,202,157
153,202,329
184,202,436
27,202,2054
95,157,57
80,157,152
240,157,945
107,157,171
233,157,9383
206,138,1017
211,138,356
183,138,106
76,138,92
154,59,230
233,170,11
129,170,372
138,170,139
24,170,124
70,170,341
88,170,222
32,170,2086
144,212,486
235,1,66
155,221,521
236,221,409
233,221,679
242,221,423
238,221,297
29,221,512
173,221,351
180,221,1825
138,221,462
240,221,9627
211,221,3645
47,163,453
204,110,308
86,110,327
150,110,114
13,169,101
168,169,259
88,169,407
144,169,156
206,169,496
14,169,459
145,123,1200
104,123,788
147,47,371
144,47,98
77,47,270
124,63,736
85,63,122
82,63,682
226,63,335
80,180,352
221,180,3098
222,226,206
82,226,533
26,226,46
185,226,1282
104,194,163
245,148,1357
203,148,1562
137,148,267
216,148,4706
70,148,786
88,148,646
95,148,203
206,83,717
165,83,135
95,83,359
231,230,2650
86,230,848
80,240,158
138,240,195
157,240,716
221,240,3215
236,240,773
233,240,4494
242,240,338
238,240,693
180,240,533
29,240,94
48,240,645
173,240,7254
203,240,1907
216,240,112
185,239,568
236,239,227
157,239,67
88,239,248
80,239,519
238,239,1082
82,245,644
202,245,243
4,245,139
88,245,2409
165,245,488
95,245,755
204,132,161
75,132,1550
157,132,2145
97,132,535
14,132,5049
86,132,1669
21,132,1738
191,132,12
129,70,2049
26,70,221
122,70,993
88,70,304
148,70,118
170,70,484
245,70,473
203,70,164
226,154,51
74,154,361
137,154,139
210,154,1775
177,154,3197
75,154,2292
145,41,1363
3,41,1192
210,41,14353
13,144,305
184,144,62
147,144,146
138,144,789
7,144,129
70,144,24
206,144,1062
6,193,703
221,193,532
229,193,1177
16,193,1142
105,184,55
164,184,60
176,184,63
117,184,263
4,184,1026
202,184,212
206,184,94
64,172,4709
116,172,3071
31,135,214
148,135,793
6,135,247
206,189,189
105,189,127
245,95,2734
137,95,1757
83,95,4951
25,62,1482
168,213,51
217,213,706
205,213,7410
150,213,394
206,213,388
116,171,1224
64,171,930
85,171,473
27,37,32
206,37,1052
19,37,170
116,210,1547
238,210,180
3,210,3927
157,210,130
145,210,652
237,210,659
232,210,217
233,210,7932
64,210,311
240,210,164
245,210,146
122,210,227
26,210,136
41,210,9481
214,210,584
24,210,21
208,210,458
173,210,206
85,210,1348
95,210,230
