start_concept,end_concept,result
63,46,1
184,339,1
400,317,1
404,310,1
331,264,1
404,46,1
391,45,1
50,219,1
63,211,1
193,31,1
376,182,1
239,138,1
257,188,1
257,385,1
292,8,1
229,389,1
381,240,1
194,367,1
190,324,1
63,310,1
358,336,1
134,232,1
8,264,1
323,130,1
310,403,1
310,218,1
208,302,1
8,66,1
167,48,1
35,152,1
343,397,1
32,129,1
359,356,1
280,143,1
268,38,1
184,15,1
323,331,1
313,228,1
63,117,1
186,282,1
293,243,1
286,41,1
72,4,1
182,384,1
396,402,1
182,82,1
8,93,1
359,138,1
63,134,1
235,364,1
34,203,1
31,33,1
229,112,1
298,310,1
401,329,1
8,345,1
232,73,1
323,144,1
310,240,1
279,155,1
31,170,1
31,8,1
31,302,1
31,35,1
310,152,1
208,219,1
332,208,1
302,265,1
8,403,1
372,139,1
292,310,1
8,136,1
384,66,1
8,153,1
397,138,1
63,332,1
31,263,1
348,395,1
8,242,1
31,287,1
129,138,1
399,327,1
310,109,1
232,89,1
235,257,1
53,404,1
330,222,1
105,14,1
323,258,1
393,206,1
310,287,1
402,392,1
292,195,1
138,61,1
31,260,1
138,334,1
141,292,1
63,241,1
310,373,1
63,339,1
308,88,1
104,138,1
8,44,1
31,251,1
302,272,1
397,345,1
63,2,1
396,390,1
257,170,1
122,397,1
63,404,1
31,290,1
33,389,1
26,44,1
31,347,1
310,343,1
310,36,1
257,62,1
31,184,1
141,31,1
257,223,1
223,252,1
52,302,1
89,219,1
83,105,1
233,317,1
122,379,1
272,221,1
239,185,1
32,248,1
214,268,1
235,48,1
310,78,1
16,333,1
45,310,1
232,65,1
372,88,1
8,389,1
32,139,1
53,148,1
310,145,1
237,397,1
323,257,1
292,10,1
323,321,1
8,223,1
239,336,1
32,277,1
136,243,1
91,324,1
70,117,1
32,38,1
89,228,1
133,310,1
373,315,1
323,302,1
138,270,1
310,35,1
133,176,1
172,78,1
92,187,1
182,38,1
381,133,1
314,173,1
8,90,1
76,78,1
292,268,1
390,229,1
391,260,1
341,86,1
63,337,1
310,17,1
169,395,1
310,187,1
235,136,1
146,359,1
397,98,1
381,112,1
34,119,1
323,143,1
372,359,1
31,117,1
45,300,1
372,129,1
35,285,1
239,297,1
269,268,1
117,41,1
202,244,1
229,162,1
323,196,1
337,121,1
26,87,1
34,266,1
63,397,1
330,341,1
310,398,1
31,395,1
257,153,1
184,35,1
256,295,1
369,302,1
63,285,1
136,195,1
117,29,1
32,384,1
314,66,1
31,175,1
239,46,1
31,66,1
381,310,1
323,31,1
381,362,1
129,139,1
34,307,1
31,11,1
63,17,1
235,170,1
32,33,1
96,337,1
228,311,1
310,89,1
31,230,1
310,234,1
359,349,1
209,56,1
362,230,1
54,311,1
182,71,1
395,352,1
134,40,1
323,345,1
372,147,1
63,53,1
381,262,1
310,260,1
31,71,1
390,171,1
235,150,1
257,44,1
31,345,1
257,100,1
214,299,1
31,293,1
105,282,1
31,77,1
168,300,1
397,230,1
184,302,1
138,139,1
34,359,1
293,324,1
214,236,1
105,156,1
8,398,1
182,127,1
91,402,1
172,13,1
31,364,1
141,397,1
19,72,1
323,374,1
63,391,1
31,397,1
8,352,1
168,384,1
31,402,1
396,344,1
310,15,1
323,8,1
158,395,1
397,351,1
184,397,1
237,330,1
330,310,1
390,105,1
310,399,1
382,395,1
323,85,1
91,399,1
63,343,1
138,301,1
235,243,1
362,89,1
34,356,1
129,240,1
347,350,1
86,236,1
402,90,1
184,173,1
31,289,1
31,213,1
268,145,1
179,243,1
268,138,1
391,304,1
8,302,1
362,28,1
81,239,1
372,351,1
146,65,1
257,288,1
289,273,1
31,382,1
31,235,1
144,194,1
395,321,1
323,229,1
19,286,1
229,80,1
31,26,1
229,108,1
223,320,1
31,122,1
187,110,1
377,310,1
402,283,1
337,74,1
223,90,1
323,138,1
302,114,1
376,33,1
397,218,1
31,173,1
323,352,1
310,148,1
142,351,1
257,402,1
404,89,1
235,90,1
235,345,1
310,118,1
238,125,1
310,21,1
229,200,1
33,79,1
323,209,1
161,272,1
83,229,1
257,201,1
251,310,1
259,257,1
313,311,1
63,214,1
31,349,1
31,1,1
8,26,1
268,334,1
332,267,1
61,270,1
8,50,1
8,219,1
31,216,1
182,314,1
67,134,1
373,75,1
323,0,1
323,390,1
31,118,1
117,260,1
63,99,1
8,287,1
397,89,1
323,25,1
194,15,1
303,399,1
257,305,1
304,31,1
395,48,1
317,270,1
8,62,1
259,394,1
34,297,1
304,195,1
232,315,1
235,261,1
26,124,1
257,226,1
229,197,1
384,261,1
84,162,1
214,380,1
42,240,1
259,397,1
122,389,1
63,304,1
372,181,1
268,315,1
89,173,1
104,35,1
211,88,1
