C1(head)_id,C2(tail)_id,Num
88,211,37.0
49,383,350.0
367,300,736.0
117,300,349.0
138,300,528.0
220,300,217.0
199,300,712.0
339,300,398.0
304,300,658.0
368,300,940.0
124,300,193.0
391,300,279.0
174,300,353.0
239,300,25.0
229,125,1363.0
279,125,74.0
167,125,141.0
0,125,296.0
238,125,132.0
329,186,246.0
401,186,250.0
282,186,187.0
314,186,129.0
105,186,95.0
78,186,227.0
331,186,114.0
196,186,92.0
386,186,793.0
389,186,280.0
277,186,2861.0
338,186,394.0
200,100,600.0
55,100,541.0
323,100,245.0
257,100,234.0
247,100,142.0
48,100,4096.0
8,100,3546.0
87,399,268.0
91,399,1725.0
43,399,176.0
327,399,252.0
136,399,650.0
103,74,113.0
315,74,653.0
369,74,369.0
290,74,69.0
233,74,178.0
346,74,206.0
31,74,864.0
301,74,157.0
211,74,277.0
219,74,1396.0
87,74,1444.0
268,74,247.0
138,74,710.0
50,74,1921.0
65,74,255.0
77,74,1000.0
200,353,480.0
402,353,169.0
55,353,288.0
323,353,185.0
84,353,33.0
390,353,1014.0
348,353,232.0
249,353,189.0
202,353,381.0
402,392,619.0
243,91,333.0
195,91,410.0
257,91,213.0
352,91,186.0
210,91,20.0
324,91,297.0
87,91,606.0
331,91,230.0
399,91,298.0
74,91,97.0
97,91,409.0
154,91,1193.0
177,91,5324.0
283,91,487.0
136,91,179.0
383,228,1827.0
313,228,2343.0
311,228,133.0
166,228,12.0
268,228,5117.0
49,228,220.0
54,228,305.0
31,228,907.0
330,39,602.0
321,39,1640.0
67,39,1456.0
63,39,373.0
237,39,456.0
40,236,1083.0
214,236,181.0
241,236,368.0
187,236,154.0
304,236,661.0
209,4,456.0
19,4,866.0
192,4,323.0
29,4,997.0
117,4,1224.0
25,4,201.0
229,4,1574.0
41,4,1403.0
33,4,649.0
208,404,158.0
310,404,282.0
232,404,229.0
239,404,327.0
260,404,690.0
295,404,24.0
63,404,1860.0
53,404,546.0
304,404,1645.0
267,404,212.0
352,404,204.0
200,41,1573.0
4,41,506.0
19,41,390.0
253,41,26.0
29,41,328.0
56,41,720.0
117,41,794.0
192,41,285.0
263,102,3318.0
133,102,89.0
89,102,129.0
229,102,1381.0
362,102,5357.0
293,102,2471.0
288,102,565.0
381,102,105.0
259,102,142.0
397,102,2175.0
31,102,678.0
200,130,320.0
331,130,261.0
174,130,151.0
0,130,648.0
52,130,71.0
352,130,912.0
229,130,723.0
90,130,266.0
238,130,2909.0
283,130,221.0
302,130,251.0
154,130,344.0
323,130,191.0
321,130,1506.0
305,130,220.0
68,130,126.0
342,130,126.0
23,130,481.0
151,130,46.0
314,18,331.0
323,62,292.0
257,62,1245.0
154,62,6365.0
192,62,523.0
8,62,189.0
352,62,914.0
205,62,184.0
342,62,4701.0
275,62,483.0
283,62,2889.0
41,62,822.0
310,218,296.0
230,218,1777.0
175,218,1733.0
343,218,31.0
304,218,38.0
36,218,1378.0
195,218,218.0
397,218,1090.0
19,72,100.0
9,203,183.0
33,203,54.0
359,203,3183.0
332,203,460.0
214,163,311.0
27,163,310.0
101,163,430.0
63,163,272.0
298,163,132.0
229,84,1507.0
280,84,169.0
390,84,8132.0
323,84,2073.0
14,84,83.0
271,84,655.0
68,84,538.0
200,84,935.0
162,84,2898.0
378,144,578.0
323,144,685.0
310,144,482.0
257,144,334.0
321,144,3715.0
55,144,499.0
355,144,52.0
251,144,252.0
253,144,608.0
201,144,249.0
395,144,392.0
283,144,91.0
8,144,271.0
245,144,843.0
252,144,327.0
200,144,251.0
268,54,245.0
365,265,165.0
52,265,439.0
302,265,571.0
247,265,113.0
0,265,86.0
165,265,272.0
229,265,1368.0
238,265,238.0
304,187,21.0
366,187,4929.0
240,187,2387.0
229,187,1377.0
373,187,1736.0
121,187,320.0
138,187,4994.0
256,187,433.0
298,187,89.0
234,187,1385.0
397,187,190.0
268,187,1313.0
3,187,90.0
63,187,1428.0
170,187,2772.0
40,187,384.0
208,187,124.0
214,187,655.0
110,187,2201.0
175,187,149.0
363,348,110.0
154,348,5667.0
402,348,3418.0
253,348,23.0
352,348,10425.0
331,348,281.0
320,348,3496.0
62,348,485.0
8,348,456.0
323,348,465.0
257,348,2227.0
170,348,38.0
202,348,3312.0
283,348,753.0
200,348,2718.0
235,348,208.0
138,267,322.0
101,267,668.0
332,267,370.0
189,267,279.0
100,352,1355.0
91,352,74.0
363,352,274.0
154,352,3941.0
348,352,784.0
320,352,931.0
62,352,4308.0
90,352,5012.0
315,352,97.0
170,352,396.0
395,352,4865.0
202,352,43.0
71,352,1201.0
250,352,82.0
283,352,1745.0
110,352,271.0
26,352,568.0
252,352,90.0
323,352,212.0
257,352,2064.0
321,352,7309.0
305,352,2922.0
29,19,463.0
70,19,671.0
229,19,1362.0
260,19,1327.0
352,19,321.0
72,19,493.0
178,19,469.0
354,19,611.0
8,19,32.0
4,19,298.0
117,19,2289.0
41,19,464.0
55,95,1058.0
226,95,1722.0
97,95,426.0
94,95,217.0
238,95,1442.0
202,95,155.0
103,347,160.0
55,347,942.0
169,347,2326.0
251,347,303.0
95,347,113.0
395,347,1522.0
262,347,261.0
226,347,716.0
188,347,2342.0
126,347,445.0
235,347,5733.0
257,347,251.0
321,347,1595.0
385,347,346.0
342,347,370.0
136,347,1180.0
237,347,313.0
103,322,75.0
35,351,81.0
229,351,1391.0
36,351,296.0
310,351,2519.0
211,351,334.0
176,351,491.0
142,351,325.0
239,75,818.0
24,75,142.0
389,75,240.0
175,75,848.0
358,75,3555.0
170,382,475.0
347,382,157.0
154,382,1731.0
395,382,12074.0
158,382,120.0
352,382,105.0
363,382,215.0
252,382,101.0
235,382,794.0
128,382,344.0
205,382,254.0
94,382,342.0
92,106,206.0
63,106,1838.0
323,106,339.0
310,106,207.0
40,106,1915.0
236,106,315.0
17,106,578.0
103,106,374.0
256,106,1546.0
304,106,141.0
57,106,27.0
189,106,232.0
9,106,396.0
341,106,4951.0
22,106,90.0
214,106,214.0
241,106,11590.0
383,106,1073.0
58,106,834.0
121,106,877.0
86,106,955.0
295,106,104.0
31,83,1682.0
323,83,465.0
95,83,511.0
27,83,388.0
273,83,197.0
4,83,895.0
55,83,331.0
20,83,142.0
329,83,116.0
12,83,1225.0
5,83,636.0
381,83,1495.0
316,83,297.0
171,83,127.0
196,83,220.0
105,83,637.0
108,83,260.0
8,83,2505.0
197,83,418.0
150,83,413.0
244,402,358.0
31,402,1053.0
323,402,412.0
347,402,1006.0
200,402,964.0
257,402,1662.0
396,402,228.0
321,402,3732.0
59,402,109.0
55,402,74.0
162,402,113.0
335,402,571.0
348,402,1237.0
324,402,925.0
229,402,1447.0
124,402,82.0
183,402,215.0
62,402,2255.0
85,402,314.0
293,402,177.0
385,402,163.0
243,402,1144.0
235,402,423.0
78,402,95.0
320,402,291.0
8,402,423.0
392,402,54.0
345,402,78.0
90,402,1660.0
48,402,182.0
202,402,3703.0
31,89,1942.0
310,89,1194.0
351,89,20.0
17,89,176.0
357,89,594.0
343,89,149.0
35,89,369.0
229,89,1383.0
404,89,715.0
214,89,713.0
102,89,169.0
169,89,74.0
397,89,1483.0
164,139,1572.0
138,139,267.0
105,139,579.0
165,139,389.0
106,241,7162.0
341,241,6476.0
267,241,441.0
386,241,814.0
50,241,431.0
214,241,296.0
222,241,266.0
189,241,2682.0
101,241,87.0
373,241,75.0
86,241,284.0
92,241,538.0
401,196,1851.0
220,196,45.0
389,196,585.0
112,196,2240.0
80,196,967.0
200,196,519.0
328,196,622.0
118,196,384.0
20,196,707.0
105,196,2638.0
26,196,139.0
78,196,260.0
229,196,201.0
90,196,2365.0
378,196,24.0
173,196,1085.0
170,196,328.0
273,344,120.0
186,344,58.0
312,344,33.0
309,344,1522.0
323,344,279.0
59,344,2095.0
84,344,195.0
396,344,296.0
329,344,670.0
105,344,554.0
282,344,372.0
318,344,185.0
390,344,506.0
399,43,436.0
91,43,35.0
373,43,457.0
93,43,627.0
315,43,287.0
251,250,86.0
321,250,1655.0
355,250,155.0
320,250,548.0
26,250,763.0
259,379,233.0
98,379,5034.0
218,379,269.0
23,275,7269.0
229,275,4170.0
154,275,337.0
200,275,307.0
323,275,155.0
374,275,5072.0
192,275,3995.0
342,275,1813.0
314,275,77.0
56,275,1477.0
41,275,20.0
279,238,482.0
229,238,1395.0
166,238,76.0
158,238,177.0
167,238,91.0
323,238,174.0
95,238,1191.0
374,238,240.0
0,238,1342.0
305,238,784.0
130,238,4683.0
46,239,209.0
75,239,675.0
133,239,398.0
304,239,1823.0
310,239,254.0
81,239,6979.0
63,239,1297.0
404,239,2903.0
340,239,349.0
332,239,197.0
255,239,408.0
386,239,816.0
295,239,12.0
369,239,235.0
185,239,467.0
336,239,793.0
103,299,192.0
214,299,931.0
187,299,294.0
396,171,1384.0
105,171,10.0
386,171,792.0
202,171,309.0
14,171,86.0
26,223,47.0
385,223,453.0
321,223,7623.0
320,223,384.0
355,223,332.0
154,223,5993.0
348,223,185.0
144,223,560.0
283,223,40.0
117,70,529.0
34,70,106.0
31,153,481.0
71,153,3374.0
66,153,298.0
198,153,336.0
384,153,251.0
216,153,805.0
314,153,3831.0
199,115,103.0
368,115,75.0
288,115,995.0
204,115,182.0
26,115,105.0
32,103,483.0
266,103,248.0
119,103,624.0
65,103,204.0
307,103,352.0
138,103,569.0
191,103,201.0
164,103,10.0
372,103,108.0
337,103,2113.0
229,103,1351.0
301,103,21.0
129,103,133.0
232,103,1440.0
77,103,397.0
211,103,206.0
96,103,484.0
38,103,1694.0
145,103,25.0
93,103,401.0
370,103,353.0
3,103,152.0
380,103,159.0
268,103,87.0
63,103,2573.0
332,103,67.0
185,103,76.0
387,103,98.0
216,103,151.0
334,103,83.0
40,103,390.0
258,313,137.0
257,313,298.0
311,313,423.0
228,313,3954.0
268,313,403.0
331,12,819.0
33,12,48.0
229,12,923.0
338,12,181.0
364,12,331.0
275,12,162.0
302,365,711.0
165,365,123.0
265,365,563.0
31,166,222.0
247,166,86.0
389,166,36.0
229,166,1316.0
302,166,667.0
268,166,189.0
238,166,391.0
117,166,88.0
323,67,8866.0
310,67,291.0
321,67,2010.0
304,67,21.0
306,67,713.0
193,67,756.0
390,67,2701.0
134,67,5909.0
63,67,6201.0
235,67,230.0
143,67,828.0
40,67,8287.0
208,67,92.0
39,67,701.0
349,145,177.0
138,145,486.0
243,145,44.0
317,145,1011.0
315,145,218.0
268,145,287.0
297,356,1144.0
88,356,2919.0
315,356,39.0
261,66,910.0
216,66,1643.0
153,66,308.0
12,66,593.0
227,66,2720.0
71,66,12592.0
395,66,572.0
384,66,3330.0
198,66,721.0
352,66,217.0
314,66,6244.0
242,66,430.0
133,176,1722.0
325,176,623.0
351,176,20.0
83,176,249.0
388,176,213.0
381,176,237.0
390,176,595.0
260,176,984.0
99,176,370.0
36,176,242.0
268,176,204.0
65,176,326.0
31,176,2065.0
323,176,3165.0
310,176,440.0
228,176,359.0
271,176,9350.0
349,64,52.0
138,64,510.0
386,225,780.0
276,225,494.0
277,225,212.0
105,225,219.0
128,225,387.0
19,29,940.0
33,29,409.0
229,29,1367.0
41,29,160.0
4,29,3936.0
117,29,1774.0
70,29,359.0
31,335,1361.0
310,335,23.0
91,335,457.0
263,335,3180.0
133,335,1988.0
362,335,1796.0
8,335,33.0
229,335,1393.0
259,335,253.0
199,335,296.0
360,335,763.0
394,335,1304.0
304,335,392.0
190,335,490.0
195,335,313.0
293,335,5505.0
181,119,2148.0
159,119,67.0
232,119,923.0
167,403,21.0
89,403,232.0
253,403,424.0
180,403,90.0
323,403,228.0
310,403,155.0
48,403,12.0
224,403,122.0
366,305,106.0
341,305,453.0
307,305,179.0
138,305,1225.0
203,305,108.0
395,305,1881.0
257,305,1038.0
321,305,1844.0
214,305,272.0
57,308,184.0
304,308,3360.0
330,308,175.0
63,308,181.0
232,308,146.0
40,308,252.0
208,308,269.0
58,207,3120.0
385,8,480.0
167,8,457.0
83,8,158.0
309,8,212.0
280,8,16.0
352,8,4825.0
347,8,884.0
158,8,290.0
100,8,2611.0
31,8,3890.0
323,8,20518.0
257,8,6350.0
136,8,1015.0
228,8,224.0
5,8,167.0
93,8,651.0
345,8,2717.0
126,8,108.0
48,8,239.0
200,8,361.0
245,8,893.0
223,8,111.0
83,33,282.0
229,33,817.0
25,33,2348.0
331,33,470.0
196,33,112.0
29,33,1059.0
12,33,93.0
246,33,326.0
31,33,1330.0
323,33,6648.0
310,33,21.0
41,33,1282.0
154,33,1887.0
68,33,44.0
389,33,2250.0
8,33,423.0
90,33,44.0
56,33,15751.0
209,33,630.0
314,33,265.0
105,33,223.0
215,33,2731.0
79,33,1187.0
192,33,536.0
84,312,119.0
105,312,462.0
20,312,59.0
329,312,274.0
121,178,176.0
225,178,455.0
33,178,2119.0
97,178,378.0
342,178,336.0
25,178,10267.0
56,178,943.0
79,178,116.0
78,178,1981.0
4,178,470.0
32,370,1607.0
150,370,1080.0
129,370,1678.0
103,370,2340.0
38,370,2205.0
77,370,728.0
216,370,2585.0
233,38,199.0
103,38,858.0
121,38,429.0
31,38,860.0
32,38,497.0
315,38,78.0
74,38,2970.0
77,38,2035.0
370,38,5029.0
138,38,16071.0
150,38,1912.0
229,38,1329.0
268,38,835.0
56,38,475.0
216,38,767.0
334,38,260.0
314,38,63.0
322,96,336.0
240,96,230.0
268,96,221.0
3,96,99.0
63,96,646.0
95,5,556.0
33,5,15.0
323,5,691.0
257,5,1387.0
321,5,108.0
55,5,575.0
154,5,1655.0
12,5,137.0
229,5,8358.0
390,5,5575.0
200,5,1289.0
339,355,135.0
320,355,352.0
8,355,184.0
257,355,253.0
321,355,8645.0
220,355,87.0
305,355,90.0
363,355,3236.0
395,355,8273.0
352,355,3758.0
16,355,1311.0
71,355,862.0
170,355,8435.0
378,355,1692.0
283,355,257.0
26,355,2848.0
161,247,317.0
323,247,428.0
285,247,2047.0
302,247,1838.0
272,247,862.0
156,247,381.0
85,247,393.0
130,247,219.0
221,247,224.0
109,247,4751.0
188,1,52.0
233,301,11.0
138,301,2527.0
74,301,752.0
234,301,124.0
38,301,453.0
103,301,171.0
351,372,174.0
139,372,78.0
211,372,472.0
119,372,257.0
356,372,377.0
138,372,190.0
34,372,3814.0
359,372,236.0
232,372,2375.0
42,372,115.0
297,372,47.0
88,372,3996.0
65,372,441.0
146,372,110.0
83,330,716.0
341,330,800.0
175,330,3855.0
306,330,216.0
36,330,191.0
134,330,1376.0
58,330,647.0
92,330,117.0
63,330,200.0
332,330,23.0
28,330,374.0
208,330,237.0
189,330,37.0
9,330,52.0
299,330,133.0
341,86,493.0
240,86,344.0
241,86,364.0
256,86,312.0
236,86,556.0
189,86,2524.0
389,319,3450.0
33,319,400.0
386,319,817.0
25,319,341.0
56,319,535.0
23,319,1678.0
37,319,402.0
256,49,316.0
228,49,113.0
383,49,505.0
42,49,190.0
394,179,771.0
195,179,676.0
243,179,98.0
177,179,701.0
335,179,261.0
91,179,231.0
210,179,1985.0
259,263,474.0
335,263,996.0
31,263,8115.0
323,263,422.0
310,263,259.0
257,263,453.0
133,263,3632.0
386,263,816.0
229,263,1395.0
394,263,378.0
362,263,258.0
381,263,612.0
36,263,184.0
268,263,1735.0
63,263,2429.0
367,195,254.0
10,195,108.0
404,195,10.0
263,195,624.0
335,195,2828.0
254,195,917.0
402,195,195.0
91,195,1996.0
229,195,1379.0
