start_concept,end_concept,result
347,395,1
33,79,1
235,257,1
235,345,1
352,385,0
8,287,1
181,387,0
300,168,0
229,316,1
268,219,1
187,295,1
172,78,1
359,138,1
19,99,1
66,165,0
400,254,1
399,327,1
310,371,1
136,91,0
341,354,0
395,169,0
310,132,1
141,310,1
402,396,0
31,77,1
31,7,1
339,292,0
335,14,0
377,220,0
194,367,1
10,2,0
205,31,0
141,168,1
405,202,0
292,268,1
296,320,0
210,391,0
222,123,0
310,302,1
260,63,0
32,235,1
254,204,1
358,106,0
287,31,0
104,89,1
217,259,0
26,398,0
83,399,0
399,91,0
260,310,0
339,31,0
64,280,0
381,240,1
230,369,0
91,402,1
25,33,0
51,99,0
320,223,0
254,142,0
129,159,1
382,395,1
363,31,0
324,299,0
122,234,0
250,361,0
31,26,1
225,76,0
87,239,0
381,89,1
257,378,1
310,304,0
114,278,0
395,321,1
67,8,1
166,343,0
397,175,1
239,268,1
63,391,1
111,45,0
241,81,0
310,110,1
257,268,1
168,384,1
31,228,1
323,283,1
248,387,1
31,290,1
403,184,0
216,31,0
310,373,1
395,8,0
105,123,0
187,206,1
90,257,0
397,389,1
237,36,1
232,315,1
164,146,0
63,340,1
310,301,1
292,195,1
31,235,1
395,31,0
395,94,1
8,151,1
30,396,0
32,159,1
26,48,0
289,273,1
127,8,0
65,68,0
235,364,1
175,31,0
138,139,1
161,272,1
15,194,0
220,46,0
132,310,0
404,46,1
31,69,1
381,310,1
8,274,1
218,220,0
235,268,1
243,177,0
138,315,1
372,139,1
182,127,1
174,220,0
323,345,1
293,263,0
304,195,1
217,263,0
33,376,0
292,10,1
182,242,1
216,31,0
257,402,1
337,129,1
354,333,0
123,350,0
63,17,1
363,55,0
8,202,1
353,202,0
304,31,1
310,93,1
40,67,0
12,229,0
376,136,1
200,229,0
63,343,1
49,225,0
310,287,1
34,71,0
81,297,1
397,237,0
112,105,0
337,375,1
323,85,1
89,219,1
373,63,0
310,98,1
256,295,1
382,94,1
123,354,1
173,127,1
162,194,0
268,228,1
170,257,0
373,315,1
170,252,0
380,321,0
224,310,0
323,268,1
337,138,1
191,310,0
184,138,1
36,31,0
306,99,1
230,362,0
353,323,0
391,98,1
293,292,0
374,323,0
239,340,1
45,89,1
47,291,0
129,248,1
228,31,0
395,158,0
31,392,1
98,391,0
353,255,0
223,252,1
136,210,1
230,299,0
167,319,0
337,88,1
202,244,1
32,149,0
360,87,0
257,243,1
376,33,1
304,397,1
286,19,0
31,8,1
317,204,0
278,8,0
31,57,1
105,112,1
323,154,1
239,304,0
366,310,0
63,232,1
103,67,0
298,136,0
15,194,0
134,304,1
31,363,1
349,359,0
129,138,1
86,218,0
293,177,1
292,293,1
214,27,0
321,67,0
89,199,1
319,79,0
195,292,0
31,358,1
16,218,0
248,337,0
269,268,1
295,253,0
340,405,0
235,8,1
72,265,0
400,243,1
31,323,0
184,182,1
149,334,0
397,98,1
296,235,0
191,65,0
368,367,0
34,240,1
121,101,1
302,32,0
293,31,0
70,117,1
135,117,0
202,353,1
25,48,0
210,136,0
214,341,1
398,310,0
214,393,0
182,32,0
194,310,0
336,358,0
104,357,0
8,235,0
323,130,1
254,400,0
90,142,0
323,390,1
337,315,1
31,38,1
31,128,1
52,232,0
9,277,0
268,310,0
259,310,1
239,89,1
381,133,1
231,83,0
237,169,1
359,34,0
166,279,0
232,22,1
223,204,0
224,211,0
310,397,1
173,308,0
142,351,1
194,148,1
63,285,1
302,184,0
395,48,1
152,310,0
88,308,0
368,31,0
122,389,1
372,359,1
117,271,0
294,376,0
304,123,0
218,310,0
68,156,0
323,238,1
324,243,1
288,257,0
337,139,1
66,18,1
32,33,1
259,132,0
78,172,0
63,294,1
83,12,1
310,89,1
145,115,0
390,105,1
292,272,0
83,124,0
268,145,1
278,223,0
310,217,0
178,56,1
95,155,1
157,30,0
83,8,1
225,234,0
310,358,1
342,287,0
315,60,0
278,111,0
238,0,1
399,367,0
63,362,1
402,308,0
138,129,0
82,404,0
35,79,0
230,247,0
184,219,1
362,28,1
229,162,1
324,293,0
356,359,0
124,272,0
315,325,0
232,181,1
362,293,0
401,396,0
133,31,0
8,44,1
122,397,1
202,70,0
190,243,1
321,280,0
159,129,0
205,39,0
323,308,0
232,356,1
132,310,0
391,300,1
116,33,0
53,63,0
172,13,1
337,135,1
283,402,0
326,115,0
310,138,1
336,239,0
337,121,1
153,91,0
303,373,1
63,330,1
31,317,1
121,361,1
404,134,0
202,55,0
8,238,1
337,157,1
167,286,0
57,349,0
186,231,0
396,390,1
31,130,1
384,66,1
0,323,0
187,138,1
372,157,1
48,345,0
112,31,0
169,389,0
310,234,1
391,63,0
241,86,1
223,82,0
257,398,1
400,317,1
31,239,0
366,225,0
323,144,1
223,385,0
60,120,0
147,34,0
381,262,1
31,176,1
104,170,1
239,317,1
26,31,0
144,111,0
221,375,0
397,133,0
31,141,0
323,275,1
31,324,1
382,238,0
136,243,1
253,144,0
177,243,1
254,202,1
385,363,1
310,17,1
218,98,0
292,141,0
316,309,0
302,405,1
330,189,1
314,127,1
31,102,1
401,329,1
373,194,0
235,90,1
332,63,0
26,385,0
88,236,0
236,61,0
247,50,0
58,393,0
169,395,1
230,83,0
267,138,0
390,323,0
89,228,1
1,222,0
187,92,0
260,284,1
139,129,0
323,348,1
257,174,1
272,114,1
28,397,0
310,351,1
228,311,1
396,344,1
31,86,0
257,38,1
8,223,1
319,16,0
31,279,1
377,310,1
238,125,1
350,257,0
344,180,0
363,323,0
229,80,1
197,229,0
232,89,1
242,8,0
374,89,0
197,134,0
332,214,1
395,257,0
138,71,0
91,399,1
229,112,1
274,8,0
397,133,0
201,87,0
66,261,1
63,35,1
5,357,0
138,301,1
63,341,1
31,195,1
229,8,0
208,302,1
310,403,1
351,303,0
61,175,0
402,396,0
228,115,0
119,390,0
1,46,0
105,118,1
35,310,0
191,310,0
260,306,0
268,315,1
363,352,1
323,374,1
182,384,1
35,323,0
187,170,0
237,310,1
31,382,1
339,63,0
247,402,0
33,178,1
64,58,0
103,166,0
145,5,0
235,136,1
76,78,1
323,209,1
345,228,1
209,205,0
339,63,0
171,390,0
323,321,1
240,34,0
379,300,0
310,152,1
257,395,1
260,325,1
8,66,1
264,229,0
359,356,1
206,187,0
163,214,0
285,221,0
230,10,0
74,147,0
335,257,1
239,63,0
405,290,0
380,197,0
359,146,0
117,70,0
