start_concept,end_concept,result
73,300,1
258,139,1
332,142,1
134,162,1
68,164,1
134,300,1
354,7,1
319,235,1
73,283,1
318,191,1
279,237,1
1,158,1
67,148,1
67,63,1
289,170,1
150,246,1
130,287,1
233,84,1
386,210,1
73,162,1
307,403,1
121,271,1
170,164,1
50,190,1
162,221,1
162,114,1
124,143,1
170,325,1
399,131,1
197,313,1
224,58,1
20,204,1
88,249,1
195,212,1
402,146,1
258,379,1
50,68,1
83,80,1
73,91,1
140,253,1
10,99,1
82,368,1
266,102,1
237,367,1
381,49,1
237,209,1
170,46,1
88,158,1
73,121,1
339,286,1
255,298,1
191,36,1
150,270,1
24,162,1
230,87,1
170,380,1
271,106,1
50,18,1
162,287,1
175,123,1
191,133,1
191,170,1
191,143,1
191,197,1
162,313,1
124,235,1
363,124,1
143,111,1
170,221,1
252,359,1
289,162,1
170,54,1
367,325,1
170,44,1
58,158,1
73,363,1
191,273,1
376,103,1
170,382,1
191,136,1
204,158,1
378,219,1
162,70,1
271,335,1
339,67,1
384,134,1
218,108,1
374,178,1
50,334,1
278,314,1
162,136,1
49,157,1
289,276,1
158,400,1
191,310,1
158,267,1
344,289,1
73,199,1
162,179,1
73,139,1
232,55,1
75,158,1
170,112,1
191,41,1
143,29,1
58,380,1
73,154,1
381,169,1
67,133,1
186,58,1
73,134,1
191,333,1
36,246,1
342,112,1
191,185,1
162,224,1
162,66,1
67,217,1
191,258,1
344,191,1
67,79,1
79,383,1
47,143,1
335,235,1
13,374,1
64,142,1
186,34,1
29,234,1
1,156,1
20,17,1
292,402,1
339,131,1
162,26,1
151,297,1
7,162,1
271,201,1
252,55,1
170,246,1
20,359,1
384,207,1
162,225,1
52,58,1
50,67,1
289,203,1
50,182,1
170,79,1
1,403,1
20,260,1
54,99,1
19,210,1
282,91,1
20,146,1
335,80,1
242,162,1
179,113,1
50,143,1
158,394,1
162,197,1
242,104,1
189,26,1
135,245,1
237,146,1
130,242,1
71,8,1
170,350,1
23,26,1
289,402,1
169,150,1
