C1(head)_id,C2(tail)_id,Num
55,283,37
293,321,350
265,155,736
91,155,349
158,155,528
345,155,217
145,155,712
139,155,398
3,155,658
97,155,940
57,155,193
354,155,279
27,155,353
1,155,25
150,331,1363
175,331,74
399,331,141
48,331,296
200,331,132
87,140,246
230,140,250
253,140,187
237,140,129
374,140,95
26,140,227
68,140,114
214,140,92
306,140,793
246,140,280
260,140,2861
330,140,394
320,96,600
168,96,541
50,96,245
67,96,234
90,96,142
131,96,4096
170,96,3546
274,378,268
19,378,1725
392,378,176
219,378,252
54,378,650
269,86,113
113,86,653
110,86,369
333,86,69
64,86,178
323,86,206
191,86,864
4,86,157
283,86,277
235,86,1396
274,86,1444
402,86,247
158,86,710
319,86,1921
201,86,255
357,86,1000
320,366,480
49,366,169
168,366,288
50,366,185
37,366,33
169,366,1014
376,366,232
303,366,189
116,366,381
49,157,619
99,19,333
276,19,410
67,19,213
12,19,186
373,19,20
210,19,297
274,19,606
68,19,230
378,19,298
86,19,97
264,19,409
254,19,1193
401,19,5324
153,19,487
54,19,179
321,80,1827
83,80,2343
299,80,133
141,80,12
402,80,5117
293,80,220
152,80,305
191,80,907
218,166,602
182,166,1640
38,166,1456
73,166,373
52,166,456
239,285,1083
292,285,181
199,285,368
245,285,154
3,285,661
275,102,456
358,102,866
390,102,323
69,102,997
91,102,1224
125,102,201
150,102,1574
368,102,1403
36,102,649
124,134,158
258,134,282
271,134,229
1,134,327
310,134,690
372,134,24
73,134,1860
384,134,546
3,134,1645
188,134,212
12,134,204
320,368,1573
102,368,506
358,368,390
22,368,26
69,368,328
28,368,720
91,368,794
390,368,285
273,268,3318
242,268,89
335,268,129
150,268,1381
308,268,5357
10,268,2471
206,268,565
130,268,105
351,268,142
58,268,2175
191,268,678
320,190,320
68,190,261
27,190,151
48,190,648
47,190,71
12,190,912
150,190,723
350,190,266
200,190,2909
153,190,221
143,190,251
254,190,344
50,190,191
182,190,1506
127,190,220
81,190,126
163,190,126
290,190,481
280,190,46
237,147,331
50,217,292
67,217,1245
254,217,6365
390,217,523
170,217,189
12,217,914
101,217,184
163,217,4701
238,217,483
153,217,2889
368,217,822
258,114,296
51,114,1777
181,114,1733
224,114,31
3,114,38
66,114,1378
276,114,218
58,114,1090
358,266,100
291,298,183
36,298,54
355,298,3183
363,298,460
292,107,311
370,107,310
194,107,430
73,107,272
24,107,132
269,226,221
85,226,85
53,226,646
284,226,619
15,226,1259
296,226,12
171,226,1362
204,226,264
150,37,1507
195,37,169
169,37,8132
50,37,2073
178,37,83
326,37,655
81,37,538
320,37,935
343,37,2898
138,18,578
50,18,685
258,18,482
67,18,334
182,18,3715
168,18,499
248,18,52
41,18,252
22,18,608
161,18,249
103,18,392
153,18,91
170,18,271
337,18,843
383,18,327
320,18,251
402,152,245
348,111,165
47,111,439
143,111,571
90,111,113
48,111,86
137,111,272
150,111,1368
200,111,238
3,245,21
184,245,4929
287,245,2387
150,245,1377
179,245,1736
40,245,320
158,245,4994
16,245,433
24,245,89
387,245,1385
58,245,190
402,245,1313
257,245,90
73,245,1428
133,245,2772
239,245,384
124,245,124
292,245,655
338,245,2201
181,245,149
174,376,110
254,376,5667
49,376,3418
22,376,23
12,376,10425
68,376,281
211,376,3496
217,376,485
170,376,456
50,376,465
67,376,2227
133,376,38
116,376,3312
153,376,753
320,376,2718
339,376,208
158,188,322
194,188,668
363,188,370
244,188,279
96,12,1355
19,12,74
174,12,274
254,12,3941
376,12,784
211,12,931
217,12,4308
350,12,5012
113,12,97
133,12,396
103,12,4865
116,12,43
341,12,1201
316,12,82
153,12,1745
338,12,271
342,12,568
