start_concept,end_concept,result
73,215,1
281,223,0
50,170,1
162,3,0
28,275,0
113,100,0
67,301,0
118,367,0
385,381,0
236,170,0
50,150,1
227,367,1
47,271,0
75,197,1
162,307,1
237,146,1
38,50,1
67,339,0
374,336,1
255,249,1
162,379,1
292,24,1
58,351,0
342,247,0
186,78,0
3,42,1
191,240,0
99,324,0
344,58,1
191,339,1
267,158,0
3,58,1
242,228,1
250,255,0
347,364,0
53,171,1
29,234,1
242,162,1
133,67,0
51,203,0
42,3,0
381,168,1
192,347,0
67,138,1
350,67,0
51,110,0
255,250,1
177,304,0
381,303,1
351,25,1
58,73,0
120,192,0
352,252,0
210,191,0
92,289,0
355,53,0
67,116,1
68,176,0
35,88,0
170,103,1
325,167,1
143,361,1
14,23,0
373,243,0
50,81,1
378,84,0
325,137,0
191,270,1
60,246,0
73,218,1
3,191,1
346,142,1
252,17,1
280,67,0
345,211,1
180,169,0
170,182,1
15,392,1
87,303,0
250,271,0
131,103,0
67,210,1
252,201,1
401,210,1
359,204,0
73,199,1
339,350,1
162,305,1
160,371,0
162,284,1
146,162,0
61,377,1
224,58,1
402,146,1
235,256,0
198,378,1
102,117,0
370,292,1
225,353,0
161,274,0
79,211,1
131,380,0
179,279,0
193,247,0
159,191,0
170,380,1
60,191,0
273,380,1
287,255,0
258,179,1
1,402,1
203,83,0
349,45,0
381,385,1
366,116,0
50,376,1
92,253,0
58,162,0
116,171,0
191,211,1
3,354,0
350,399,1
161,62,0
191,273,1
55,232,0
20,36,1
218,58,1
10,308,1
13,150,1
50,48,1
287,406,0
10,159,1
288,50,0
351,67,1
50,77,1
342,57,1
258,197,1
237,20,0
73,363,1
79,383,1
206,67,0
73,162,1
170,8,1
342,274,1
328,36,0
170,96,1
73,1,1
76,398,0
179,21,0
170,67,1
50,288,1
232,329,1
6,121,0
169,349,1
67,185,1
179,233,0
158,170,0
318,191,1
403,224,0
75,1,1
204,158,1
366,50,0
277,402,1
170,340,1
36,192,1
402,170,0
332,160,0
214,388,0
196,85,0
235,319,0
252,359,1
233,162,0
36,279,0
144,109,1
50,320,1
271,294,1
102,69,0
73,245,1
171,53,0
36,125,1
171,324,0
79,346,0
292,244,1
18,337,1
295,141,0
103,131,1
15,326,1
245,184,1
102,91,0
374,87,1
150,385,1
9,377,0
169,334,0
50,122,1
176,170,0
339,170,1
213,116,1
402,35,1
214,50,0
151,402,0
287,204,0
167,1,0
158,269,0
158,267,1
127,91,0
0,231,0
20,226,1
67,341,1
170,176,1
191,159,1
150,246,1
81,50,0
380,80,1
345,27,1
43,199,1
114,345,0
130,270,1
58,186,0
44,19,0
162,287,1
170,399,1
191,310,1
146,162,0
191,345,1
255,298,1
7,335,1
93,381,0
67,99,1
271,158,1
170,44,1
332,132,1
6,345,0
191,71,1
220,358,0
307,58,0
50,71,1
304,191,0
234,302,1
162,143,1
331,366,0
71,325,1
27,67,0
273,25,1
232,326,1
279,237,1
52,66,1
361,116,0
73,154,1
245,257,1
379,233,0
97,84,0
347,3,0
315,381,0
143,234,1
268,381,0
15,226,1
191,51,1
143,56,1
136,191,0
110,143,1
210,365,0
237,339,0
74,206,0
67,243,1
137,359,1
162,338,1
50,217,1
75,133,1
366,201,0
339,131,1
1,73,0
253,200,0
25,156,0
169,374,1
162,289,0
162,32,1
170,337,1
66,191,0
363,73,0
402,151,1
211,30,0
58,246,1
271,256,1
204,85,1
380,103,0
271,201,1
67,44,1
247,343,0
311,396,0
170,131,1
191,374,1
10,289,0
59,364,0
254,221,0
353,246,0
162,352,1
252,226,1
267,158,0
369,285,1
33,103,1
131,191,0
344,289,1
162,74,1
90,319,0
190,384,0
352,77,0
191,174,1
44,216,0
58,241,1
143,197,1
332,213,1
380,131,1
130,287,1
191,50,0
151,318,0
39,381,0
191,344,0
186,387,0
174,12,1
347,250,1
265,155,1
354,386,0
225,402,0
382,170,0
321,80,1
170,319,1
6,58,0
16,245,1
103,33,0
217,67,0
381,191,0
384,329,0
393,255,0
73,58,1
394,158,0
30,25,0
67,161,1
31,84,0
271,55,1
191,136,1
73,347,1
121,239,1
78,330,0
66,344,0
191,6,1
18,117,0
201,271,0
148,67,0
339,365,1
162,387,1
36,275,1
112,250,0
271,88,1
50,29,1
162,170,1
67,18,1
109,297,0
378,236,0
402,267,1
335,130,0
50,68,1
221,94,0
402,225,1
162,119,1
344,162,1
121,134,1
20,359,1
149,252,0
217,50,0
58,380,1
259,292,0
308,51,1
88,99,0
312,216,0
152,299,1
99,49,1
18,67,0
67,79,1
15,85,1
73,224,1
71,164,0
150,164,1
283,326,1
191,286,1
48,50,0
56,95,0
325,118,1
64,158,0
200,48,1
52,16,1
40,216,1
359,158,0
293,80,1
347,156,1
2,165,0
191,49,1
126,285,0
191,139,1
195,212,1
60,171,0
344,176,0
216,40,0
301,159,1
51,13,0
162,242,0
50,380,1
156,285,0
339,147,0
50,381,1
29,304,0
402,4,1
99,324,0
363,184,1
174,67,0
79,18,1
278,292,1
215,94,0
339,133,1
158,204,0
357,191,0
3,32,1
162,402,1
142,346,0
130,13,1
249,88,0
38,269,1
270,360,0
380,170,0
67,211,1
20,102,1
191,373,1
184,14,0
52,154,1
323,113,0
187,326,0
60,243,1
70,151,0
73,115,1
284,162,0
3,13,0
339,193,1
163,50,0
67,206,1
289,344,0
16,372,1
252,123,0
262,91,0
38,245,1
49,19,0
61,366,0
384,329,0
159,191,0
254,170,0
103,350,1
28,36,0
299,275,0
252,171,1
185,89,1
357,191,0
363,135,1
92,15,1
255,85,1
162,76,1
269,141,0
261,174,0
326,159,0
147,211,0
336,162,0
227,103,1
50,212,1
325,367,0
381,191,0
313,162,0
8,236,1
258,99,1
258,139,1
272,345,0
118,103,0
73,121,1
341,147,1
204,359,1
141,224,0
79,209,0
332,225,1
191,197,1
2,21,0
150,343,1
276,289,0
319,235,1
226,20,0
309,355,0
197,191,0
19,49,1
242,104,1
35,88,0
279,36,1
162,351,0
179,73,0
245,372,1
170,136,1
151,114,0
65,71,1
50,349,1
339,67,1
226,39,0
116,191,0
191,158,1
311,67,0
296,15,0
252,43,0
170,236,1
193,251,0
57,153,0
133,393,0
362,71,1
116,391,1
67,350,1
402,1,0
121,3,1
204,151,0
35,80,1
365,313,0
307,43,0
96,143,0
3,347,1
162,120,1
158,204,0
58,258,0
99,401,0
197,162,0
310,271,0
131,339,0
210,10,0
2,182,0
233,207,1
67,146,1
191,142,1
301,67,1
289,10,1
197,313,1
249,271,0
301,10,1
58,352,1
137,152,0
158,245,0
339,237,1
198,240,1
73,139,1
255,341,0
161,353,0
97,191,0
139,258,0
369,345,0
327,15,0
75,402,1
50,182,1
73,384,1
245,271,0
191,91,1
351,120,0
371,70,0
58,242,0
361,88,0
198,120,1
273,159,1
302,234,0
354,6,1
285,400,0
73,404,1
307,162,0
157,191,0
21,13,0
69,102,1
162,245,1
170,339,0
308,301,0
286,191,0
50,163,1
339,99,1
174,195,0
8,50,0
135,96,0
339,380,1
88,249,1
15,55,1
292,215,1
208,151,0
150,237,1
125,131,0
162,335,1
279,353,0
73,220,1
308,10,0
292,278,0
63,174,1
155,183,0
191,375,1
13,162,1
23,14,1
191,381,1
205,91,0
344,191,1
67,112,1
73,310,1
276,363,0
73,258,1
50,190,1
269,283,0
13,57,0
402,83,1
81,56,0
255,11,1
143,348,1
258,58,1
191,1,0
190,362,0
233,382,0
246,238,0
276,358,0
138,103,1
50,214,1
225,365,0
335,130,0
173,300,0
181,162,0
54,27,1
101,166,0
395,150,0
52,218,1
54,386,1
258,237,1
50,164,1
150,222,1
55,285,0
315,142,0
73,302,1
343,80,0
125,24,0
143,281,1
406,329,1
83,299,1
197,192,0
49,381,0
33,244,0
393,29,1
229,148,0
201,271,0
191,181,1
80,321,0
283,55,1
15,86,1
15,177,1
88,35,1
174,191,0
142,332,0
191,237,1
162,4,1
22,170,0
53,88,1
335,73,0
170,150,1
399,208,0
170,254,1
142,394,1
368,91,0
191,322,1
72,215,0
36,279,0
251,13,0
170,12,1
110,302,1
363,245,1
25,351,0
12,63,0
51,308,0
50,12,1
142,1,0
58,402,1
245,314,1
79,350,1
218,73,0
335,235,1
363,124,1
182,195,0
184,39,1
197,234,1
116,366,1
384,73,0
279,171,0
162,46,1
237,341,1
354,73,0
236,170,0
103,311,1
9,191,0
88,255,0
181,191,0
20,339,1
232,55,1
347,36,1
159,109,0
225,322,0
191,143,1
191,133,1
117,7,0
24,292,0
402,162,0
146,20,0
348,381,0
246,128,0
306,240,0
19,210,1
169,50,0
73,134,1
250,255,0
255,180,1
279,0,0
299,150,0
328,36,0
73,271,1
22,170,0
170,342,1
41,162,1
1,335,1
270,374,0
191,146,1
405,274,0
185,103,1
150,72,1
41,340,0
17,20,0
140,251,0
269,38,0
191,120,1
51,215,0
80,97,0
245,158,1
91,282,0
385,172,0
115,361,0
9,35,0
150,270,1
342,112,1
276,289,0
142,158,0
169,87,1
400,399,0
335,325,1
155,265,0
1,403,1
365,279,0
41,191,0
354,7,1
276,191,0
13,182,1
252,245,1
145,170,0
284,231,0
354,172,0
249,244,0
136,191,0
191,357,1
346,263,1
337,393,0
50,125,1
320,150,0
191,308,1
170,341,1
191,116,1
191,50,0
337,18,0
133,383,0
17,204,0
170,112,1
251,268,0
289,203,1
75,170,1
358,281,0
151,297,1
0,307,0
128,273,0
191,173,1
170,63,1
289,276,1
191,94,1
189,327,1
298,34,0
62,397,0
67,353,1
50,366,1
55,31,0
335,46,1
73,356,1
191,304,1
210,191,0
170,345,1
6,354,0
305,283,0
335,258,1
116,50,0
288,202,0
104,165,0
289,191,1
386,210,1
114,162,0
80,353,0
172,385,1
283,269,1
139,73,0
130,268,1
15,40,1
197,162,0
82,358,0
308,5,0
179,73,0
73,91,1
352,198,0
61,47,0
197,335,0
191,378,1
170,382,1
142,346,0
36,28,1
188,363,0
109,358,0
289,162,1
363,188,1
50,334,1
170,217,1
128,321,0
162,313,1
179,95,1
191,307,1
162,220,1
250,347,0
199,369,1
191,41,1
271,355,1
50,290,1
235,170,0
300,271,0
193,5,1
31,352,1
316,359,0
58,52,0
143,258,0
342,131,0
399,306,1
402,297,1
330,220,0
112,67,0
116,168,0
259,369,1
14,23,0
162,58,1
20,260,1
61,375,0
191,333,1
103,170,0
258,158,1
269,158,1
150,260,1
162,146,1
73,406,1
18,233,1
96,170,0
150,187,1
292,199,1
158,64,1
352,162,0
67,217,1
170,350,1
181,374,1
286,191,0
285,368,0
198,352,1
13,242,0
374,144,0
10,273,0
188,158,0
258,8,1
162,197,1
315,251,0
209,103,0
231,283,0
142,402,0
382,147,1
339,54,1
239,38,0
174,67,0
398,278,0
58,310,1
378,232,0
191,162,1
10,301,0
50,168,1
1,314,0
255,347,0
73,239,1
1,311,0
380,103,0
158,88,0
162,242,0
49,350,1
67,380,1
50,191,1
376,85,0
77,335,0
381,367,0
131,280,1
224,27,0
73,241,0
266,102,1
332,199,0
116,170,0
224,162,0
252,106,1
191,382,1
279,339,1
36,62,1
150,21,1
135,245,1
37,84,0
300,271,0
142,402,0
381,169,1
255,88,1
67,254,1
55,317,0
162,242,0
51,5,0
186,34,1
10,289,0
272,162,1
260,150,0
164,50,0
15,113,1
88,250,1
16,71,0
143,29,1
122,93,0
191,325,1
50,197,1
11,97,0
289,170,1
233,179,1
339,118,1
162,184,1
361,333,0
227,322,0
44,249,0
326,283,0
321,159,0
182,57,0
94,368,0
358,102,1
20,0,0
204,149,1
191,344,0
159,10,0
270,374,0
79,63,0
38,97,0
22,380,1
123,100,0
162,90,1
402,251,1
50,157,0
176,170,0
293,14,0
50,182,1
162,380,1
75,202,0
191,276,1
51,8,0
274,1,0
318,310,1
183,365,1
358,310,1
93,353,0
20,165,1
162,204,0
182,38,0
20,103,1
158,323,1
18,22,1
21,121,0
255,287,1
235,245,0
170,402,1
271,372,1
279,54,1
197,294,0
191,183,1
252,294,1
367,253,0
191,351,1
50,36,1
308,241,1
282,91,1
249,4,0
220,310,0
255,158,1
140,374,1
79,366,0
15,17,1
162,25,0
20,367,1
86,11,0
359,253,0
20,269,1
125,36,0
245,235,1
10,99,1
237,126,1
147,341,0
103,191,0
269,38,0
284,201,0
308,335,1
342,247,0
292,285,1
86,15,0
49,157,1
394,271,0
288,50,0
182,13,0
3,150,0
292,370,0
303,381,0
289,233,1
38,170,1
398,259,1
143,111,1
18,280,1
162,194,1
71,8,1
143,191,0
155,349,0
193,211,0
344,73,1
367,309,0
31,188,0
356,284,0
73,166,1
15,359,1
103,67,0
227,200,0
191,227,1
248,191,0
252,329,0
31,134,0
62,36,0
130,205,1
171,53,0
15,158,1
130,83,1
67,103,1
162,217,0
13,385,1
90,319,0
142,158,0
72,150,0
95,15,0
8,232,0
133,53,0
61,180,0
191,97,1
170,223,1
3,1,1
73,292,1
339,139,1
73,143,0
367,118,1
329,406,0
365,339,0
162,258,1
352,252,0
272,298,0
262,389,0
113,309,0
36,368,1
50,343,1
313,162,0
53,226,1
342,233,0
191,58,1
83,239,0
189,26,1
168,116,1
294,369,0
233,84,1
179,73,0
310,318,0
50,153,1
289,29,0
170,164,1
23,26,1
54,19,0
73,242,1
50,116,1
6,354,0
179,233,0
234,29,0
18,174,1
369,127,0
162,404,1
191,258,1
124,235,1
270,191,0
51,335,0
99,145,0
362,325,1
63,79,1
218,259,1
373,354,0
1,73,0
164,400,0
73,179,1
90,49,0
399,82,0
170,182,1
191,210,1
374,270,1
131,380,0
34,85,0
170,41,1
31,253,0
351,58,1
351,401,1
191,101,1
21,150,0
141,175,0
342,63,0
186,388,0
38,182,1
243,67,0
405,212,1
230,332,0
210,215,0
108,218,0
186,58,1
143,20,0
218,162,1
175,141,1
82,368,1
277,304,0
182,103,0
193,339,0
182,38,0
358,266,1
99,54,0
367,167,1
276,3,0
20,237,1
294,360,0
146,20,0
50,67,1
40,15,0
88,158,1
191,80,1
81,50,0
106,384,0
1,158,1
327,183,0
230,381,0
378,19,0
54,355,0
50,8,1
63,12,1
58,158,1
158,394,1
12,63,0
231,28,1
1,95,1
376,103,1
201,198,0
170,235,1
87,374,0
4,48,0
147,200,0
310,220,1
237,325,1
191,179,1
58,268,1
161,116,0
401,351,0
49,381,0
91,326,0
0,267,0
36,317,1
117,102,1
113,40,0
166,391,0
73,15,1
215,297,0
116,213,0
149,204,0
200,228,0
170,80,1
162,207,1
54,159,1
369,114,0
131,103,0
358,368,1
14,387,0
52,58,1
300,46,0
325,382,1
67,57,1
258,235,1
50,350,1
323,118,0
167,17,0
63,89,1
16,228,0
374,178,1
78,45,0
400,181,0
285,328,0
381,349,1
191,103,1
50,91,1
121,271,1
138,67,0
358,220,1
122,360,0
271,180,1
170,325,1
200,331,1
60,103,1
150,129,1
162,247,1
398,369,1
330,224,0
386,99,1
158,35,1
313,135,0
382,226,0
325,147,1
1,347,0
7,354,0
218,108,1
191,35,1
335,162,0
67,176,1
78,129,0
146,237,0
179,73,0
282,69,1
35,88,0
247,342,1
347,1,1
150,238,1
213,31,0
191,9,1
73,197,1
352,198,0
195,50,1
270,191,0
268,58,0
15,204,1
370,182,1
191,175,1
252,11,1
71,362,0
380,162,0
91,368,1
269,38,0
220,162,0
20,17,1
103,67,0
52,245,1
162,181,1
73,344,0
186,246,1
301,178,0
135,73,0
212,195,0
87,178,0
236,158,0
10,401,1
73,354,1
8,191,0
49,153,1
139,289,0
158,269,0
39,184,0
107,292,0
197,51,0
29,344,0
7,162,1
214,152,0
223,170,0
310,100,1
374,342,0
140,253,1
258,142,1
237,382,1
162,225,1
162,99,1
57,223,0
320,150,0
237,147,1
191,376,1
247,162,0
352,24,0
56,363,0
191,104,1
255,397,1
237,209,1
13,378,0
205,342,0
60,191,0
242,3,0
150,395,1
170,54,1
162,218,0
310,388,1
223,117,0
310,271,0
316,216,0
13,374,1
403,266,0
10,210,1
339,355,0
142,346,0
292,107,1
0,172,0
38,239,1
379,21,0
362,167,1
130,335,1
130,242,1
170,22,1
118,339,0
46,170,0
225,288,0
178,6,0
203,154,0
289,139,1
7,155,1
226,20,0
139,191,0
4,162,0
20,143,1
143,81,0
19,378,1
379,233,0
81,143,1
275,101,0
284,252,0
384,207,1
308,10,0
37,343,1
218,52,0
310,73,0
53,201,1
105,168,0
292,314,1
373,54,0
367,325,1
30,222,1
108,235,0
170,200,1
374,295,1
342,63,0
179,113,1
347,182,0
155,354,0
103,380,1
209,134,0
186,396,0
390,242,0
308,25,1
38,121,1
73,300,1
254,50,0
202,217,0
162,292,1
162,336,1
202,335,1
270,130,0
171,192,0
162,310,1
274,54,0
73,64,0
400,394,1
345,300,0
247,67,0
64,142,1
307,162,0
402,142,1
213,332,0
399,350,0
67,89,1
201,81,0
120,39,1
338,67,0
373,6,0
179,162,0
191,186,1
213,346,1
67,148,1
103,12,1
275,62,0
305,162,0
350,31,0
191,86,1
143,302,1
78,118,1
235,335,0
318,356,0
13,395,1
320,15,0
191,157,1
220,185,0
134,121,0
73,259,1
120,162,0
197,258,0
338,162,0
381,172,1
58,51,1
249,88,0
287,168,0
29,302,1
157,181,0
233,162,0
228,242,0
183,196,1
271,250,1
354,3,1
148,130,0
266,358,0
191,340,1
116,49,1
291,260,0
358,82,1
258,143,1
193,61,1
67,174,1
170,13,0
170,246,1
24,54,0
181,201,0
67,133,1
58,170,1
197,302,1
242,191,0
150,320,1
1,3,0
50,402,1
284,162,0
15,269,0
191,400,1
153,49,0
218,135,1
366,240,0
241,348,0
67,182,1
1,142,1
366,350,0
170,73,0
136,170,0
314,245,0
191,402,1
271,106,1
271,113,1
162,114,1
71,147,1
246,58,0
11,252,0
402,58,0
67,399,1
162,224,1
252,149,1
191,60,1
191,185,1
273,308,1
82,310,1
54,99,1
73,191,1
67,127,1
323,55,0
139,73,0
15,315,1
103,60,0
191,235,1
311,103,0
308,181,1
271,359,1
3,144,0
20,204,1
181,182,0
193,6,0
170,221,1
308,398,0
351,34,1
125,388,0
87,230,0
162,26,1
199,292,0
191,131,1
228,386,0
342,205,1
3,242,1
242,58,1
29,143,0
54,373,1
275,62,0
372,22,0
58,114,1
175,123,1
158,4,1
73,402,1
67,49,1
201,85,0
170,191,0
354,155,1
329,406,0
52,162,1
163,136,0
208,192,0
162,136,1
58,186,0
191,66,1
351,191,0
5,111,0
67,170,0
227,237,1
325,349,0
57,222,0
62,275,1
25,273,0
402,80,1
99,258,0
67,191,0
396,169,0
191,10,1
343,233,0
22,18,0
99,324,0
20,146,1
55,160,0
191,342,1
162,261,1
294,243,0
366,50,0
164,150,0
162,66,1
63,103,1
358,109,1
395,150,0
223,79,0
191,336,1
382,269,0
29,281,1
134,335,1
1,300,1
63,170,0
292,259,1
292,402,1
45,349,1
324,401,0
67,63,1
302,324,0
170,49,1
210,99,1
260,14,1
50,254,1
307,403,1
327,329,0
139,191,0
316,174,1
191,236,1
185,191,0
351,162,1
380,339,0
170,158,1
191,59,1
170,50,0
342,211,1
289,402,1
213,248,0
58,242,0
271,310,1
191,335,1
221,258,0
36,328,1
50,18,1
67,27,1
103,170,0
162,158,1
234,315,0
218,244,1
24,162,1
46,170,0
174,168,0
342,247,0
252,214,0
77,50,0
75,335,1
191,341,1
384,134,1
191,190,1
61,337,0
362,335,0
204,17,1
288,150,1
403,307,0
